sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
1833,5587823,2773586,90.00%,49.64%,32.91%
1123,3887290,3024422,85.26%,77.80%,4.10%
1910,6925413,5919037,94.33%,85.47%,5.07%
1116,16284980,13766100,94.45%,84.53%,5.51%
1136,5289382,4311181,88.93%,81.51%,4.10%
2195,5982426,5232796,95.53%,87.47%,4.61%
1060,4441150,3607598,90.42%,81.23%,5.60%
1197,5858184,4878142,91.20%,83.27%,4.15%
1304,7204164,6172454,93.62%,85.68%,4.37%
2261,8049916,6249336,87.96%,77.63%,5.12%
1916,7073050,6088962,94.65%,86.09%,4.61%
2197,5856952,5043783,93.99%,86.12%,3.85%
1881,7659546,6522887,93.66%,85.16%,4.51%
1891,4843952,4141422,94.06%,85.50%,4.67%
1818,12301028,10255341,92.79%,83.37%,5.07%
2135,6116523,5150319,92.49%,84.20%,4.14%
1100,2190521,1705799,85.87%,77.87%,4.35%
1282,5674511,4531746,88.81%,79.86%,4.64%
1685,4880130,3570762,83.25%,73.17%,4.10%
2027,5037424,4276451,93.15%,84.89%,4.57%
1267,3048247,2327763,86.32%,76.36%,3.66%
1971,5578011,4684583,92.73%,83.98%,4.68%
1916,7132341,6136342,94.63%,86.04%,4.64%
1644,15262290,13024679,94.33%,85.34%,4.78%
2029,4380194,3690657,92.47%,84.26%,4.37%
2020,5395738,4507692,92.54%,83.54%,4.95%
1999,4674137,3819572,90.98%,81.72%,4.63%
1504,3063313,2070094,76.01%,67.58%,3.16%
1199,4478868,3545858,85.89%,79.17%,3.56%
1431,15285805,12561789,91.18%,82.18%,4.30%
2311,5105356,4365866,93.03%,85.52%,3.76%
1111,3957475,2862961,81.80%,72.34%,5.35%
1034,15367892,13183597,95.40%,85.79%,5.33%
1789,4573381,3823928,92.67%,83.61%,4.68%
1839,5017021,3989299,88.18%,79.52%,4.35%
1458,14025055,11943324,94.00%,85.16%,4.30%
1818,12333687,10273081,92.73%,83.29%,5.07%
1999,4694915,3825712,90.82%,81.49%,4.66%
1976,5960585,4998810,92.65%,83.86%,4.99%
1523,4661346,3937912,93.31%,84.48%,4.31%
1930,7326581,6032557,92.10%,82.34%,5.06%
1889,4897812,4080468,93.35%,83.31%,5.54%
1580,16264123,13695708,93.96%,84.21%,5.65%
1444,7531666,6396089,93.20%,84.92%,4.25%
1662,12135418,10304447,93.76%,84.91%,4.49%
1793,4359794,3350869,85.49%,76.86%,4.16%
1537,7663521,6436311,92.10%,83.99%,4.09%
1096,15451949,13149543,94.80%,85.10%,5.48%
2094,5605584,4873147,94.70%,86.93%,4.35%
1844,4835730,3971203,91.27%,82.12%,4.63%
1085,5649410,4350355,85.95%,77.01%,4.58%
2076,5120191,4333298,93.77%,84.63%,5.18%
2154,6395308,5147489,90.34%,80.49%,5.95%
2027,5060331,4282482,93.04%,84.63%,4.70%
1323,6107191,4656453,85.04%,76.25%,4.69%
1426,15480013,13396288,94.86%,86.54%,4.04%
1578,8327264,7150404,94.63%,85.87%,5.09%
1991,6629828,5670267,93.68%,85.53%,4.29%
1265,5150214,4310292,92.43%,83.69%,3.93%
2118,5941375,5100364,94.25%,85.84%,5.17%
1594,13014856,11132876,94.40%,85.54%,4.45%
2076,5119030,4321012,93.62%,84.41%,5.23%
1879,4799511,4027629,92.80%,83.92%,4.86%
1529,4646063,3970134,94.00%,85.45%,4.64%
1267,3071910,2343273,86.24%,76.28%,3.64%
1843,5150775,4317586,92.60%,83.82%,4.71%
1493,5081048,4301280,93.14%,84.65%,4.56%
1798,6112276,5030430,92.07%,82.30%,5.26%
1820,4953480,4063063,91.31%,82.02%,4.65%
2030,5109783,4357758,93.76%,85.28%,4.76%
1207,7499593,6438113,94.28%,85.85%,4.99%
2297,5484152,4525475,91.53%,82.52%,4.65%
1170,15086873,13002961,94.68%,86.19%,4.68%
1907,6804685,5814981,94.76%,85.46%,5.85%
1543,5541018,4680000,92.83%,84.46%,3.92%
2143,5550655,4659356,92.90%,83.94%,4.92%
1529,4592902,3937008,94.12%,85.72%,4.59%
2231,5521014,4253323,86.03%,77.04%,3.97%
2123,4658356,4023550,94.12%,86.37%,4.18%
1134,16033943,12793863,88.40%,79.79%,4.00%
1431,15164940,12461300,91.12%,82.17%,4.35%
1785,5048737,4033785,89.74%,79.90%,4.87%
1580,16343450,13771745,94.07%,84.26%,5.86%
1758,3673676,2955081,89.38%,80.44%,4.12%
1746,6625854,5306965,90.70%,80.09%,4.87%
1082,5396062,4343249,89.43%,80.49%,5.02%
1192,6232168,4809465,86.72%,77.17%,5.01%
1295,8834898,7405558,92.08%,83.82%,4.77%
1778,4460259,3422028,86.68%,76.72%,4.79%
1627,11211661,9405186,93.64%,83.89%,5.10%
2297,5435166,4496190,91.74%,82.72%,4.71%
1593,4427602,3521226,87.66%,79.53%,3.78%
1778,4481626,3439982,86.73%,76.76%,4.77%
2131,5056629,4110131,89.52%,81.28%,3.81%
2027,5039419,4274865,93.10%,84.83%,4.58%
1785,5052473,4030962,89.68%,79.78%,4.88%
1510,7802297,6098855,86.09%,78.17%,3.28%
1426,15818281,13728735,94.94%,86.79%,3.99%
1080,24632124,20401131,93.82%,82.82%,6.48%
1197,6058891,5038809,91.09%,83.16%,4.07%
1778,4426174,3386117,86.55%,76.50%,4.85%
1085,5482248,4235567,86.14%,77.26%,4.57%
1928,6777183,5456991,90.49%,80.52%,4.98%
